assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Spi-A2;jar1;run1;day12;Alkalinity_preT7_5[1]_06_08_19-09_59_33.csv;2,545942624;0,02428207236166;1062,963831;26,2;35,6;;;
Spi-B2;jar2;run1;day12;Alkalinity_preT7_5[1]_06_08_19-10_07_25.csv;2,524469221;0,04575547564920;1062,963831;26,2;35,6;;;
Spi-D2;jar3;run1;day12;Alkalinity_preT7_5[1]_06_08_19-10_14_16.csv;2,548078563;0,02214613363148;1062,963831;26,2;35,6;;;
Mdi-C3;jar4;run1;day12;Alkalinity_preT7_5[1]_06_08_19-10_22_15.csv;2,551412241;0,01881245583196;1062,963831;26,2;35,6;;;
Mdi-A3;jar5;run1;day12;Alkalinity_preT7_5[1]_06_08_19-10_28_12.csv;2,554692526;0,01553217056768;1062,963831;26,2;35,6;;;
Mdi-D3;jar6;run1;day12;Alkalinity_preT7_5[1]_06_08_19-10_35_32.csv;2,549743732;0,02048096438088;1062,963831;26,2;35,6;;;
Pru-D3;jar7;run1;day12;Alkalinity_preT7_5[1]_06_08_19-10_41_43.csv;2,567756629;0,00246806719206;1062,963831;26,2;35,6;;;
Pru-E3;jar8;run1;day12;Alkalinity_preT7_5[1]_06_08_19-10_48_09.csv;2,562208435;0,00801626184971;1062,963831;26,2;35,6;;;
Pru-A3;jar9;run1;day12;Alkalinity_preT7_5[1]_06_08_19-10_54_27.csv;2,561827705;0,00839699168963;1062,963831;26,2;35,6;;;
control;jar10;run1;day12;Alkalinity_preT7_5[1]_06_08_19-11_02_23.csv;2,570224696;;1062,963831;26,2;35,6;;;
Spi-A4;jar1;run2;day12;Alkalinity_preT7_5[1]_06_08_19-11_44_51.csv;2,509065578;0,05601142170720;1062,963831;26,2;35,6;;;
Spi-B3;jar2;run2;day12;Alkalinity_preT7_5[1]_06_08_19-11_54_34.csv;2,51661063;0,04846636958799;1062,963831;26,2;35,6;;;
Spi-D4;jar3;run2;day12;Alkalinity_preT7_5[1]_06_08_19-12_02_50.csv;2,524463579;0,04061342106009;1062,963831;26,2;35,6;;;
Mdi-C4;jar4;run2;day12;Alkalinity_preT7_5[1]_06_08_19-12_09_42.csv;2,5448395;0,02023750036140;1062,963831;26,2;35,6;;;
Mdi-A4;jar5;run2;day12;Alkalinity_preT7_5[1]_06_08_19-12_15_30.csv;2,525644;0,03943299990839;1062,963831;26,2;35,6;;;
Mdi-D4;jar6;run2;day12;Alkalinity_preT7_5[1]_06_08_19-12_22_11.csv;2,529065533;0,03601146734354;1062,963831;26,2;35,6;;;
Pru-D4;jar7;run2;day12;Alkalinity_preT7_5[1]_06_08_19-12_31_09.csv;2,571031915;-0,00595491526291;1062,963831;26,2;35,6;;;
Pru-E4;jar8;run2;day12;Alkalinity_preT7_5[1]_06_08_19-12_37_32.csv;2,560356943;0,00472005716218;1062,963831;26,2;35,6;;;
Pru-A4;jar9;run2;day12;Alkalinity_preT7_5[1]_06_08_19-12_43_49.csv;2,563196668;0,00188033180613;1062,963831;26,2;35,6;;;
control;jar10;run2;day12;Alkalinity_preT7_5[1]_06_08_19-12_50_23.csv;2,565077;;1062,963831;26,2;35,6;;;
Spi-A1;jar1;run3;day12;Alkalinity_preT7_5[1]_06_08_19-13_42_39.csv;2,511078034;0,02796614432857;1062,963831;26,2;35,6;;;
Spi-B1;jar2;run3;day12;Alkalinity_preT7_5[1]_06_08_19-13_54_28.csv;2,481061337;0,05798284104666;1062,963831;26,2;35,6;;;
Spi-D1;jar3;run3;day12;Alkalinity_preT7_5[1]_06_08_19-14_01_33.csv;2,516485103;0,02255907506582;1062,963831;26,2;35,6;;;
Mdi-C1;jar4;run3;day12;Alkalinity_preT7_5[1]_06_08_19-14_07_47.csv;2,532243369;0,00680080856642;1062,963831;26,2;35,6;;;
Mdi-A1;jar5;run3;day12;Alkalinity_preT7_5[1]_06_08_19-14_14_56.csv;2,515022403;0,02402177466153;1062,963831;26,2;35,6;;;
Mdi-D1;jar6;run3;day12;Alkalinity_preT7_5[1]_06_08_19-14_21_34.csv;2,511307305;0,02773687310829;1062,963831;26,2;35,6;;;
Pru-D1;jar7;run3;day12;Alkalinity_preT7_5[1]_06_08_19-14_28_25.csv;2,526868405;0,01217577287389;1062,963831;26,2;35,6;;;
Pru-E2;jar8;run3;day12;Alkalinity_preT7_5[1]_06_08_19-14_34_38.csv;2,529668105;0,00937607335401;1062,963831;26,2;35,6;;;
Pru-A1;jar9;run3;day12;Alkalinity_preT7_5[1]_06_08_19-14_41_14.csv;2,536679511;0,00236466669992;1062,963831;26,2;35,6;;;
control;jar10;run3;day12;Alkalinity_preT7_5[1]_06_08_19-14_47_30.csv;2,539044178;;1062,963831;26,2;35,6;;;
