Serial number;Method name;Last modification;Sample ID;Start time;End time;Weight [g];Titration duration [s];Start pH;End pH;Start temperature [°C];End temperature [°C];Zero point [pH];Slope [%];EP [ml];EP [pH];Result [ml];Mean value 1 [ml];RSD 1 [%];Name;Recalculation
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Firsttestoftheday16;08/10/19 8:58:07;08/10/19 9:02:32;1.00000;264.01;7.991;3.490;25.1;25.1;6.85;98.2;9.747;3.490;9.75 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob1;08/10/19 9:34:12;08/10/19 9:38:56;1.00000;283.93;7.958;3.490;25.9;25.8;6.85;98.2;9.785;3.490;9.79 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob2;08/10/19 9:48:11;08/10/19 9:52:30;1.00000;258.07;7.965;3.485;25.6;25.6;6.85;98.2;9.737;3.490;9.74 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob3;08/10/19 9:55:27;08/10/19 9:59:46;1.00000;259.63;7.957;3.487;25.8;25.7;6.85;98.2;9.765;3.490;9.77 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob4;08/10/19 10:02:33;08/10/19 10:06:47;1.00000;253.35;7.957;3.488;25.6;25.6;6.85;98.2;9.778;3.490;9.78 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob5;08/10/19 10:09:45;08/10/19 10:13:56;1.00000;249.93;7.967;3.490;25.5;25.6;6.85;98.2;9.771;3.490;9.77 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob6;08/10/19 10:15:59;08/10/19 10:20:17;1.00000;257.87;7.968;3.485;25.5;25.6;6.85;98.2;9.779;3.490;9.78 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob7;08/10/19 10:22:59;08/10/19 10:27:10;1.00000;250.48;7.954;3.487;25.5;25.6;6.85;98.2;9.729;3.490;9.73 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob8;08/10/19 10:29:08;08/10/19 10:33:40;1.00000;271.79;7.957;3.485;25.5;25.6;6.85;98.2;9.735;3.490;9.73 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob9;08/10/19 10:35:49;08/10/19 10:40:09;1.00000;259.44;7.948;3.487;25.8;25.8;6.85;98.2;9.755;3.490;9.76 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob10;08/10/19 10:42:16;08/10/19 10:46:38;1.00000;261.51;7.953;3.486;25.7;25.7;6.85;98.2;9.772;3.490;9.77 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob11;08/10/19 10:50:17;08/10/19 10:54:29;1.00000;252.39;7.962;3.487;25.4;25.5;6.85;98.2;9.777;3.490;9.78 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob12;08/10/19 11:26:51;08/10/19 11:31:04;1.00000;252.77;8.021;3.487;26.6;26.4;6.85;98.2;9.702;3.490;9.70 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob13;08/10/19 11:34:17;08/10/19 11:38:50;1.00000;272.52;8.040;3.488;26.7;26.4;6.85;98.2;9.647;3.490;9.65 ;;;A 162 2M-DIN-ID;
10012653;Alkalinity preT7.5[1];07/17/19 13:45:20;Day16_19_08_10_Prob14;08/10/19 11:41:09;08/10/19 11:45:27;1.00000;257.70;8.020;3.489;26.6;26.5;6.85;98.2;9.719;3.490;9.72 ;;;A 162 2M-DIN-ID;
